method_glfc, task_size_6, learning_rate_0.1, started_at_20260407_011517
Task: 0, Round: 0 | TrainLoss: 0.1184 | EvalLoss: 2.1299 | Acc: 24.62% | Prec: 7.23% | Rec: 33.31% | F1: 11.52%
Task: 0, Round: 1 | TrainLoss: 0.0276 | EvalLoss: 1.9382 | Acc: 24.62% | Prec: 7.71% | Rec: 33.29% | F1: 12.50%
Task: 0, Round: 2 | TrainLoss: 0.0342 | EvalLoss: 1.6683 | Acc: 39.16% | Prec: 22.09% | Rec: 48.73% | F1: 29.91%
Task: 0, Round: 3 | TrainLoss: 0.0341 | EvalLoss: 1.6000 | Acc: 39.27% | Prec: 22.79% | Rec: 48.84% | F1: 30.65%
Task: 0, Round: 4 | TrainLoss: 0.0340 | EvalLoss: 1.5509 | Acc: 39.32% | Prec: 24.68% | Rec: 48.89% | F1: 32.19%
Task: 0, Round: 5 | TrainLoss: 0.0339 | EvalLoss: 1.5149 | Acc: 39.90% | Prec: 26.21% | Rec: 49.50% | F1: 33.42%
Task: 1, Round: 6 | TrainLoss: 0.0510 | EvalLoss: 2.2892 | Acc: 29.58% | Prec: 7.01% | Rec: 24.45% | F1: 10.66%
Task: 1, Round: 7 | TrainLoss: 0.0475 | EvalLoss: 2.2115 | Acc: 29.57% | Prec: 8.38% | Rec: 24.44% | F1: 11.51%
Task: 1, Round: 8 | TrainLoss: 0.0462 | EvalLoss: 2.1490 | Acc: 29.58% | Prec: 7.18% | Rec: 24.48% | F1: 10.71%
Task: 1, Round: 9 | TrainLoss: 0.0455 | EvalLoss: 2.0977 | Acc: 29.60% | Prec: 15.44% | Rec: 24.56% | F1: 10.83%
Task: 1, Round: 10 | TrainLoss: 0.0513 | EvalLoss: 2.0021 | Acc: 29.70% | Prec: 19.94% | Rec: 25.53% | F1: 12.35%
Task: 1, Round: 11 | TrainLoss: 0.0450 | EvalLoss: 2.0078 | Acc: 29.69% | Prec: 14.90% | Rec: 26.05% | F1: 12.56%
Task: 2, Round: 12 | TrainLoss: 0.0626 | EvalLoss: 2.1792 | Acc: 24.38% | Prec: 8.95% | Rec: 17.42% | F1: 6.74%
Task: 2, Round: 13 | TrainLoss: 0.0586 | EvalLoss: 2.0424 | Acc: 26.86% | Prec: 10.97% | Rec: 19.91% | F1: 9.58%
Task: 2, Round: 14 | TrainLoss: 0.0573 | EvalLoss: 2.0057 | Acc: 34.61% | Prec: 18.95% | Rec: 27.10% | F1: 14.84%
Task: 2, Round: 15 | TrainLoss: 0.0675 | EvalLoss: 1.9526 | Acc: 34.84% | Prec: 16.51% | Rec: 27.31% | F1: 14.97%
Task: 2, Round: 16 | TrainLoss: 0.0567 | EvalLoss: 1.9896 | Acc: 34.86% | Prec: 17.93% | Rec: 27.37% | F1: 14.99%
Task: 2, Round: 17 | TrainLoss: 0.0560 | EvalLoss: 1.9633 | Acc: 34.93% | Prec: 19.84% | Rec: 27.49% | F1: 15.21%
Task: 3, Round: 18 | TrainLoss: 0.0771 | EvalLoss: 2.0520 | Acc: 26.78% | Prec: 9.50% | Rec: 17.05% | F1: 9.19%
Task: 3, Round: 19 | TrainLoss: 0.0685 | EvalLoss: 2.0060 | Acc: 34.42% | Prec: 9.31% | Rec: 20.57% | F1: 11.08%
Task: 3, Round: 20 | TrainLoss: 0.0667 | EvalLoss: 2.0228 | Acc: 34.37% | Prec: 13.25% | Rec: 20.62% | F1: 11.23%
Task: 3, Round: 21 | TrainLoss: 0.0648 | EvalLoss: 2.0673 | Acc: 34.21% | Prec: 10.66% | Rec: 20.41% | F1: 11.04%
Task: 3, Round: 22 | TrainLoss: 0.0638 | EvalLoss: 2.1072 | Acc: 34.18% | Prec: 11.56% | Rec: 20.40% | F1: 11.05%
Task: 3, Round: 23 | TrainLoss: 0.0633 | EvalLoss: 2.1205 | Acc: 34.18% | Prec: 12.10% | Rec: 20.42% | F1: 11.08%
Task: 4, Round: 24 | TrainLoss: 0.0517 | EvalLoss: 2.0908 | Acc: 34.86% | Prec: 14.68% | Rec: 19.31% | F1: 12.28%
Task: 4, Round: 25 | TrainLoss: 0.0531 | EvalLoss: 2.0834 | Acc: 35.28% | Prec: 15.46% | Rec: 19.51% | F1: 13.03%
Task: 4, Round: 26 | TrainLoss: 0.0539 | EvalLoss: 2.0850 | Acc: 38.98% | Prec: 15.57% | Rec: 19.95% | F1: 14.21%
Task: 4, Round: 27 | TrainLoss: 0.0541 | EvalLoss: 2.0956 | Acc: 39.17% | Prec: 18.77% | Rec: 19.97% | F1: 14.02%
Task: 4, Round: 28 | TrainLoss: 0.0540 | EvalLoss: 2.1086 | Acc: 39.18% | Prec: 18.70% | Rec: 19.94% | F1: 13.93%
Task: 4, Round: 29 | TrainLoss: 0.0537 | EvalLoss: 2.1257 | Acc: 39.17% | Prec: 17.03% | Rec: 19.92% | F1: 13.92%
